TF326309	ARHGAP19
TF320495	Muscarinic_acetylcholine_receptor_M1
TF320495	Muscarinic_acetylcholine_receptor_M5
TF300466	EIF4A3
TF313621	OSGEP
TF313402	UPB1
TF336029	TNKS1BP1
TF105890	C2orf18
TF315801	MCFD2
TF332308	ACAA1
TF314989	MRPL1
TF325139	NIN_%28gene%29
TF325139	NINL
TF330997	DGCR2
TF320336	ST5_%28gene%29
TF312846	DAD1
TF105723	Beta-mannosidase
TF316616	PARP1
TF326440	BARD1
TF105628	ALG14
TF300449	GDI2
TF300449	GDI1
TF323752	NCDN
TF337831	C1orf49
TF314859	WDR45L
TF314859	WDR45
TF351136	IQCE
TF318352	IFT74
TF323957	UTP6
TF317562	TPD52L2
TF317562	TPD52
TF317562	TPD52L1
TF101069	SERTAD1
TF332269	VEZT
TF105017	POLE_%28enzyme%29
TF335541	GPR160
TF328412	GTF3C4
TF324876	C3orf10
TF300143	U2_small_nuclear_RNA_auxiliary_factor_1
TF105387	ARHGDIA
TF105387	ARHGDIB
TF105387	ARHGDIG
TF312979	RRN3
TF332087	STAP2
TF332087	STAP1
TF106395	HP1BP3
TF333159	GLCCI1
TF313082	PRPF3
TF332823	COMMD1
TF313644	FAM76B
TF105704	VPS18
TF343131	RNF213
TF327203	ITFG3
TF329017	Roxan_%28protein%29
TF332328	HBA2
TF332328	HBQ1
TF332328	HBA2
TF332328	HBZ
TF315180	FIS1
TF300902	GPHN
TF333497	Tripeptidyl_peptidase_I
TF300685	GUSB
TF300811	ATP6V1A
TF319554	Vascular_endothelial_growth_factor_A
TF319554	PDGFA
TF319554	C-fos_induced_growth_factor
TF319554	Vascular_endothelial_growth_factor_C
TF319554	Placental_growth_factor
TF319554	Vascular_endothelial_growth_factor_B
TF319554	PDGFB
TF313548	PDSS1
TF323480	HtrA_serine_peptidase_2
TF323480	HTRA1
TF318610	FIP1L1
TF314967	NTHL1
TF338524	CD59
TF338065	Interleukin_7
TF331412	POF1B
TF105769	CENTD3
TF105769	CENTD2
TF105769	CENTD1
TF329170	LMBRD1
TF315515	SNAI1
TF315515	SNAI2
TF324341	Apoptosis-antagonizing_transcription_factor
TF331068	NLRX1
TF105222	KIF2C
TF105222	KIF2A
TF313861	BLOC1S2
TF328886	GEMIN5
TF331377	OGFr
TF331821	RIPK5
TF324447	ZRSR2
TF338279	OR10H3
TF314317	ECH1
TF300202	RPL18
TF315229	CAMK2B
TF315229	CAMK2D
TF315229	CAMK2A
TF315229	CAMK2G
TF314426	SLC20A1
TF314426	SLC20A2
TF326608	Optineurin
TF326608	IKBKG
TF101062	CDC45-related_protein
TF343854	MT-ATP8
TF103005	POLG2
TF317300	AAK1
TF329439	ZNF365
TF313589	CTNS_%28gene%29
TF300874	PMM2
TF300874	PMM1
TF342852	Translocator_protein
TF333047	NXPH3
TF333047	NXPH1
TF313112	PDCD5
TF333633	FAT_%28gene%29
TF350019	ZNF346
TF105331	Aurora_A_kinase
TF105331	AURKC
TF105331	Aurora_B_kinase
TF329579	ACOT7
TF329541	DNASE1L3
TF329541	DNASE1L2
TF329541	Deoxyribonuclease_I
TF329541	DNASE1L1
TF332421	FBXL7
TF332421	FBXL2
TF317576	Protein_kinase_R
TF314826	ARHGAP8
TF300230	SRXN1
TF314611	MRPL30
TF314611	MRPL30
TF101508	EIF2B4
TF105922	L2HGDH
TF315074	Phosphatidylethanolamine_binding_protein_1
TF300745	ADK_%28gene%29
TF330719	C19orf25
TF300125	RPS14
TF319736	SAT2
TF319736	SAT1_%28gene%29
TF344137	ZNF655
TF331157	Osteoprotegerin
TF331157	TNFRSF6B
TF331157	TNFRSF14
TF331157	Lymphotoxin_beta_receptor
TF331157	TNFRSF1B
TF331157	CD30
TF331157	RANK
TF331157	CD40_%28protein%29
TF331157	TNFRSF21
TF315208	TAF2
TF313360	GPAM
TF320926	KIAA0460
TF340405	ZNF264
TF333797	HLA-DOA
TF333797	HLA-DMA
TF333797	HLA-DRA
TF333797	Major_histocompatibility_complex%2C_class_II%2C_DQ_alpha_1
TF333797	HLA-DQA2
TF314504	EFHC1
TF350468	ARL6IP4
TF101153	CUL4B
TF101153	CUL4A
TF315015	KCNN2
TF315015	KCNN1
TF315015	SK3
TF315015	KCNN4
TF317466	UBXD2
TF105303	DAB2IP
TF105303	RASAL2
TF105303	SYNGAP1
TF105184	CCS_%28gene%29
TF105165	GAK_%28protein%29
TF105165	DNAJC6
TF336723	CD1E
TF336723	CD1D
TF336723	CD1A
TF315637	SPEN
TF315637	RBM15
TF315101	Ku70
TF328922	CRYZL1
TF332407	GOLSYN
TF313888	GBA2
TF326807	SNX21
TF337913	ZNF22
TF105211	ABCG2
TF328983	DYX1C1
TF351793	TGF_beta_2
TF351793	Transforming_growth_factor%2C_beta_3
TF316344	MyoD
TF316344	Myogenin
TF300440	DDX6
TF106482	BTBD1
TF106482	BTBD2
TF312966	ELMO2
TF312966	ELMO1
TF106125	ZFYVE20
TF326684	PAK1IP1
TF337408	IL2RA
TF323769	Cathepsin_A
TF323769	CPVL
TF333393	Ribonuclease_4
TF333393	RNASE1
TF333393	Ribonuclease_4
TF333393	Eosinophil_cationic_protein
TF333393	Eosinophil-derived_neurotoxin
TF333393	Angiogenin
TF337781	ACRV1
TF335813	PPHLN1
TF325803	Death-associated_protein_6
TF323799	PIGP
TF338232	MRFAP1
TF315155	CLNS1A
TF316166	UCHL3
TF316166	Ubiquitin_carboxy-terminal_hydrolase_L1
TF351604	HOXC12
TF351604	HOXD12
TF314029	RABIF
TF338252	IER3
TF314757	Host_cell_factor_C1
TF105322	STK11
TF337816	SIT1
TF329059	HHIP
TF318022	RNF11
TF323502	RHPN1
TF323502	PTPN23
TF323502	RHPN2
TF323502	PDCD6IP
TF335561	Afamin
TF335561	Serum_albumin
TF335561	Vitamin_D-binding_protein
TF335561	Alpha-fetoprotein
TF324421	MED4
TF337883	MUC17
TF317837	DMRT1
TF300378	IMPDH2
TF300378	IMPDH1
TF300822	STT3B
TF106368	Trifunctional_purine_biosynthetic_protein_adenosine-3
TF323249	SUZ12
TF338321	CD160
TF106456	CBX2_%28gene%29
TF106456	CBX8
TF105775	Heat-responsive_protein_12
TF352118	NOD1
TF352118	NOD2
TF352118	CIITA
TF352118	NLRC5
TF313209	SLC25A12
TF314576	Cathepsin_B
TF101221	RAD52
TF317259	TCEB3
TF314814	TRAPPC2
TF314814	TRAPPC2
TF105869	GLCE
TF329427	ATF7IP
TF351573	NPHP4
TF315118	NUP93
TF319744	MALT1
TF300693	SEC23B
TF300693	SEC23A
TF317783	MCOLN3
TF317783	MCOLN1
TF317783	MCOLN2
TF314003	FOXRED1
TF325637	INPP4A
TF105287	TOP3A
TF106420	PHF1
TF338389	ZC3HAV1
TF338389	PARP12
TF300265	RPS27
TF105313	PXMP4
TF328552	ANKRD17
TF328552	ANKHD1
TF328552	ANKHD1
TF320419	Vesicle-associated_membrane_protein_8
TF324524	CECR1
TF105137	MAP2K2
TF105137	MAP2K1
TF313945	Glutamate_dehydrogenase_1
TF313945	GLUD2
TF352132	MAGED4B
TF352132	MAGED2
TF352132	MAGED4B
TF352132	TRO_%28gene%29
TF352132	MAGED1
TF326172	RAB11FIP2
TF326172	RAB11FIP1
TF326172	RAB11FIP5
TF300789	MOBKL1A
TF300789	MOBKL1B
TF300789	MOBKL2A
TF331731	KIF16B
TF317730	Homeobox_A1
TF317730	HOXB1
TF317730	HOXD1
TF332289	Collagen%2C_type_XVII%2C_alpha_1
TF105669	WARS_%28gene%29
TF314134	RPS24
TF106491	PFDN4
TF316643	TNK2
TF316643	PTK2
TF316643	PTK2B
TF334326	HPR_%28gene%29
TF334326	User_talk%3AI9606/phosphotest
TF312952	ETHE1
TF337010	OSTbeta
TF315063	RNASET2
TF106424	EP400
TF106424	SRCAP
TF105633	NDUFA8
TF326358	SPR_%28gene%29
TF330744	BCL2L13
TF338224	CCL21
TF324777	RNF19A
TF334213	SGOL1
TF314960	LSM2
TF316638	PROX1
TF105834	ZRF1
TF105906	KIAA0859
TF351132	SYT14
TF332157	2%27%2C3%27-Cyclic-nucleotide_3%27-phosphodiesterase
TF328823	SNAPC5
TF323824	TMEM216
TF101212	RAD9A
TF317801	Bloom_syndrome_protein
TF314927	Exosome_component_3
TF314402	PCK1
TF331262	RAB22A
TF331262	RAB31
TF300316	VPS13D
TF300316	VPS13A
TF105641	CCT7
TF350643	Ataxin_1
TF336257	LSP1
TF342652	Survivin
TF300086	RPL18A
TF300292	MRPS25
TF331117	NT5C
TF333945	NTNG1
TF333945	NTNG2
TF318755	SLC9A6
TF318755	SLC9A8
TF323890	SCRN1
TF315789	RBM6
TF315789	AGGF1
TF315789	RBM5
TF315789	RBM10
TF332514	TGOLN2
TF331146	CLN8
TF105889	NFX1
TF337167	Neurotensin_receptor_2
TF313722	PDCD2
TF327069	TMEM126B
TF327069	TMEM126A
TF331416	XAF1
TF331416	TRAFD1
TF101080	SEPT6
TF101080	SEPT8
TF101080	SEPT11
TF351089	RNF135
TF328570	PIK3AP1
TF341588	STATH
TF106103	MOCS3
TF331913	AP4S1
TF313490	LRBA
TF101037	CDK2AP1
TF324133	SKI_protein
TF324133	SKIL
TF323170	KATNA1
TF101111	Cyclin-dependent_kinase_inhibitor_1C
TF105602	SMC3
TF332113	MDFI
TF314347	MRNA_%28guanine-N7-%29-methyltransferase
TF106416	ASH1L
TF333447	Adrenomedullin
TF105739	PSMD2
TF313608	GGTLA1
TF313608	GGT1
TF341456	GYPB
TF341456	GYPE
TF326187	NLGN4X
TF326187	NLGN1
TF326187	NLGN3
TF326187	NLGN2
TF323379	Dolichol_kinase
TF336992	SECTM1
TF313100	YIPF5
TF324385	UCRC
TF314064	O-6-methylguanine-DNA_methyltransferase
TF342693	CRLF2
TF105455	BUB1
TF314453	ALG12
TF300611	UAP1
TF330799	UTS2
TF315087	LCMT2
TF315087	LCMT1
TF315309	MECOM
TF315309	PRDM16
TF330348	FABP1
TF330348	FABP6
TF101022	Cyclin-dependent_kinase_4
TF101022	Cyclin-dependent_kinase_6
TF337673	OR6N1
TF337673	OR6N2
TF328398	POT1
TF106173	HDAC6
TF106173	HDAC10
TF332908	PCLKC
TF313444	TBCB
TF313464	CDS2
TF313464	CDS1_%28gene%29
TF336291	ITGB3BP
TF323307	BET1
TF323307	BET1L
TF343803	Spectrin%2C_alpha_1
TF314555	LSM8
TF106190	SRPRB
TF314986	RHEB
TF106113	RPP30
TF313170	24-dehydrocholesterol_reductase
TF325869	WTAP_%28gene%29
TF350501	YAF2
TF350501	RYBP
TF313062	CHAF1B
TF315619	C3orf23
TF300237	XTP3-transactivated_gene_A_protein
TF300391	ENO3
TF300391	Alpha-enolase
TF300391	Enolase_2
TF351655	KLHL12
TF314471	ERO1LB
TF314471	ERO1L
TF300598	DPP3
TF332311	CCDC137
TF333745	ICAM2
TF333745	ICAM3
TF333745	ICAM-1
TF333745	ICAM5
TF313032	SAP18
TF300344	RANBP5
TF312822	SPSB1
TF337732	ZNF3
TF313572	CHD7
TF313572	CHD8
TF103036	POLR2A
TF300754	SDHB
TF101055	CDC23
TF329216	WSB1
TF105675	PIGA
TF325171	SPG11
TF333112	RFXANK
TF338662	Urokinase_receptor
TF313175	Tartrate-resistant_acid_phosphatase
TF105408	AKAP9
TF105293	FKBP3
TF313714	MGAT5
TF313714	MGAT5B
TF105950	SNF8
TF300574	SCP2
TF105073	COX15
TF314694	Uridine_monophosphate_synthetase
TF337882	PYCARD
TF105423	Phosphoinositide-dependent_kinase-1
TF106473	VRK2
TF106473	VRK1
TF328722	FBXO24
TF313734	DPAGT1
TF323538	NINJ1
TF317921	KRIT1
TF351999	GPR144
TF351999	LPHN3
TF351999	LPHN2
TF351999	LPHN1
TF333498	ZNF143
TF333498	ZNF76
TF105010	CCAAT/enhancer_binding_protein_zeta
TF313775	Mevalonate_kinase
TF317090	GMEB1
TF317090	GMEB2
TF300463	MCM4
TF300886	Hydroxyacyl-Coenzyme_A_dehydrogenase
TF105727	SDAD1
TF316247	FGD3
TF316247	FGD1
TF316247	FGD4
TF316247	FGD2
TF300426	METAP2
TF314379	GEM_%28gene%29
TF314379	RRAD
TF323875	UBR1
TF323875	UBR2
TF318160	PUM2
TF318160	PUM1
TF325526	DTX1
TF325526	DTX2
TF318448	TCF7L1
TF318448	TCF7
TF318448	Lymphoid_enhancer-binding_factor_1
TF318448	TCF7L2
TF313878	GIPC2
TF313878	GIPC3
TF313878	GIPC1
TF105306	Mdm2
TF105306	MDM4
TF319824	HNRNPL
TF319824	PTBP1
TF319824	PTBP2
TF105685	SF3B3
TF300795	RPS9
TF344276	HRC_%28gene%29
TF350567	MUPCDH
TF351735	SOX14
TF351735	SOX21
TF315239	FAM46A
TF337842	TNFRSF17
TF316934	JTB_%28gene%29
TF105573	SH3BP5
TF325464	G3BP1
TF325464	G3BP2
TF323555	RECQL
TF314032	MELK
TF314032	Protein_kinase%2C_AMP-activated%2C_alpha_1
TF314032	PRKAA2
TF331194	MFSD2
TF101515	EIF3I
TF329324	CEP76
TF106237	PSME4
TF323390	MED22
TF319910	RAR-related_orphan_receptor_alpha
TF319910	RAR-related_orphan_receptor_beta
TF319910	RAR-related_orphan_receptor_gamma
TF352167	Farnesoid_X_receptor
TF352167	Liver_X_receptor_alpha
TF352167	Liver_X_receptor_beta
TF325156	DDEF1
TF325156	DDEF2
TF323577	ARHGAP24
TF323879	Gamma-glutamyl_carboxylase
TF101171	Geminin
TF313473	DHX16
TF105718	Leucyl-tRNA_synthetase
TF318563	PPIG_%28gene%29
TF318563	NKTR
TF317401	MYBBP1A
TF336537	NRG3
TF315900	PTPN4
TF315900	PTPN14
TF315900	PTPN21
TF315900	PTPN3
TF300167	RPS21
TF105144	DNAJB11
TF105623	Exosome_component_2
TF315152	NDUFB7
TF300104	RPL35A
TF315234	TRAP1
TF332702	IGSF8
TF332702	IGSF2
TF332702	PTGFRN
TF101150	COPS8
TF106152	FLJ20097_/_CCDC132
TF324701	ERP29
TF105181	Peroxiredoxin_2
TF105181	PRDX4
TF105181	Peroxiredoxin_1
TF105181	PRDX3
TF331671	BFSP1
TF322733	OLIG1
TF322733	OLIG2
TF333916	Fas_receptor
TF333916	TNFRSF10D
TF333916	TNFRSF10C
TF333916	TNFRSF25
TF333916	TNFRSF10A
TF333916	TNFRSF10B
TF333916	TNFRSF1A
TF323452	CAMTA1
TF326855	PAIP2
TF329403	RNH1
TF333419	Cholecystokinin
TF321496	RUNX1
TF321496	RUNX3
TF321496	RUNX2
TF323722	PPAPDC1A
TF314966	EXOC5
TF300552	POMT1
TF300552	POMT2
TF331056	Squalene_monooxygenase
TF323232	METTL2B
TF300308	AP2A2
TF300308	Adaptor-related_protein_complex_2%2C_alpha_1
TF321672	TCF3
TF321672	TCF4
TF321672	TCF12
TF313443	TEAD2
TF313443	TEAD3
TF313443	TEAD1
TF313443	TEAD4
TF314586	MLLT3
TF314586	MLLT1
TF314236	POP1_%28gene%29
TF336244	SNN_%28gene%29
TF313181	RANBP3
TF319618	PIP5K1B
TF319618	PIP4K2B
TF319618	PIP5K1A
TF319618	PIP5K1C
TF300522	CLCNKA
TF300522	CLCNKB
TF300522	CLCN2
TF333971	GUCA1A
TF333971	GUCA1B
TF105617	DPM1
TF105446	ANAPC10
TF300859	Ferrochelatase
TF343351	GCC2
TF337534	CX3CL1
TF105708	SMC5
TF105242	RPA4
TF105242	RPA2
TF329095	SNCAIP
TF105477	ARL6IP1
TF351789	GDF3
TF351789	Bone_morphogenetic_protein_2
TF351789	Bone_morphogenetic_protein_4
TF351789	LASS1
TF300233	TCEB1
TF332014	GOLGA3
TF105741	PAFAH1B1
TF103031	POLR3K
TF312917	TSG101
TF323333	TREX1
TF323333	TREX2
TF300436	Glucose-6-phosphate_isomerase
TF331303	BCKDK
TF338182	FXYD5
TF317819	HOXA9
TF317819	HOXD9
TF317819	HOXD10
TF317819	HOXC10
TF317819	HOXC9
TF317819	Homeobox_A10
TF317819	HOXB9
TF330916	DKK2
TF330916	DKK1
TF331230	OFD1
TF313699	TMEM49
TF105031	PMPCA
TF106459	MCM3
TF324255	FAM62A
TF324255	FAM62B
TF335877	FGFBP1
TF332537	Interleukin_20_receptor%2C_beta_subunit
TF332537	Interleukin_10_receptor%2C_beta_subunit
TF332537	IFNAR1
TF338848	OR5P3
TF338848	OR5P2
TF338216	Thymic_stromal_lymphopoietin
TF105917	VTA1
TF313156	TAF10
TF328311	MICALL1
TF331837	HIVEP2
TF331837	HIVEP1
TF331837	HIVEP3
TF315243	HADHB
TF335679	CTLA-4
TF335679	CD278
TF335679	CD28
TF323318	CCDC93
TF352264	CLCN1
TF316326	BAZ1A
TF312829	Methionine_synthase
TF313578	Small_nuclear_ribonucleoprotein_polypeptide_C
TF105195	ABCB7
TF101089	PLK1
TF101089	PLK3
TF101089	PLK2
TF323870	ATXN10
TF106351	NUDT9
TF331317	TCF20
TF350357	Thymosin_%CE%B11
TF106378	ERP44
TF314550	Cathepsin_F
TF314037	GTF2H2
TF338165	APOA2
TF314343	EEF1G
TF350735	DBX1
TF350735	DBX2
TF350735	HLX_%28gene%29
TF332778	Neuropeptide_Y
TF332778	Peptide_YY
TF332097	SCN1B
TF332097	SCN3B
TF312975	PSAT1
TF336336	MRGPRD
TF336336	MAS1
TF336336	MRGPRX3
TF336336	MAS1L
TF336336	MRGPRE
TF336336	MRGPRG
TF336336	MRGPRX2
TF336336	MRGPRX1
TF336336	MRGPRX4
TF105082	BCR_gene
TF315253	Epidermal_growth_factor
TF315253	LRP6
TF326321	SFRS14
TF326321	NKRF_%28gene%29
TF101525	EIF4B
TF317264	Transient_receptor_potential_cation_channel%2C_member_A1
TF316547	NAPB
TF316547	NAPA_%28gene%29
TF314158	NAGK
TF106429	ASF1B
TF106429	ASF1A
TF351858	SFRS7
TF351858	SFRS3
TF105768	SMARCAD1
TF330076	FBLN5
TF330076	FBLN2
TF330076	EFEMP2
TF337402	Homeobox_protein_NANOG
TF105047	STCH
TF105793	DHX38
TF314188	AMACR
TF331025	CALN1
TF313647	SLC41A3
TF351623	HMGA1
TF101161	ECT2
TF316238	RASD1
TF316238	RASD2
TF103045	POLR2K
TF105008	CEBPB
TF105008	CEBPA
TF105008	CEBPD
TF105008	CEBPE
TF105098	MAPK6
TF105098	MAPK4
TF106339	NPR3
TF336012	TMEM117
TF316195	CACNB1
TF316195	CACNB3
TF316195	CACNB4
TF316195	CACNB2
TF328426	Thymopoietin
TF300341	SUPT16H
TF106226	PSMC1
TF300067	RPS15A
TF313411	PNPO
TF316358	MAP2
TF316358	Tau_protein
TF316358	MAP4
TF105827	TDO2
TF106000	ALG2
TF336381	DEFB129
TF315176	RMND5B
TF336453	TANK_%28gene%29
TF324680	CREG1
TF316545	PRDM1
TF314926	C15orf15
TF318648	STAT5A
TF318648	STAT3
TF318648	STAT2
TF318648	STAT1
TF318648	STAT6
TF318648	STAT5B
TF324954	MED1
TF105644	GCLC
TF101201	XRCC1
TF332576	PPP1R1B
TF331796	FASTK
TF105958	NUDT2
TF330344	SON
TF324053	A4GALT
TF326301	FOSL2
TF326301	C-Fos
TF326301	FOSL1
TF326301	FOSB
TF326301	ATF3
TF326301	Jun_dimerization_protein
TF105002	CLPP
TF314512	SLC22A18
TF326484	MRPS17
TF326484	MRPS17
TF326264	MYD88
TF328555	Guanidinoacetate_N-methyltransferase
TF105134	Mammalian_target_of_rapamycin
TF106197	TIMM44
TF328982	ITIH1
TF328982	ITIH2
TF328982	ITIH4
TF328982	ITIH3
TF335504	DSN1
TF300639	Fibrillarin
TF300467	ACTR2
TF315810	FUT2
TF315810	FUT1
TF325632	RELB
TF325632	NFKB1
TF325632	NFKB2
TF325632	RELA
TF325632	REL
TF106209	PSMA4
TF324381	CARHSP1
TF324381	CSDC2
TF313674	Sphingomyelin_phosphodiesterase_1
TF106428	PEX6
TF314100	INTS9
TF105986	GCLM
TF313429	GTF2E1
TF312883	MTAP
TF315009	BCS1L
TF317567	CIR_%28gene%29
TF335939	BCLAF1
TF335939	THRAP3
TF105471	ARL11
TF323240	NUP85
TF344049	OR56B1
TF344049	OR56A4
TF344049	OR56B4
TF344049	OR56A1
TF344049	OR56A3
TF323313	OSTM1
TF314398	MFAP1
TF106273	NARF
TF332565	POU2AF1
TF350191	CD2AP
TF350191	SH3KBP1
TF105759	RBM13
TF313040	MRPL28
TF328754	Microsomal_triglyceride_transfer_protein
TF328639	PREX1
TF314182	DBT_%28gene%29
TF312920	SLC25A10
TF312920	SLC25A11
TF338339	Bcl-2-interacting_killer
TF329445	GEMIN4
TF105712	NCAPD2
TF313390	COPE_%28gene%29
TF101127	HIP2
TF334641	TRAF3IP3
TF335897	IFNAR2
TF315124	ACOT8
TF314970	TCEA2
TF314970	TCEA1
TF105742	PSMD1
TF312797	SNIP1
TF329369	AIFM2
TF314185	CNOT8
TF314185	CNOT7
TF351180	ASPM_%28gene%29
TF336163	HAVCR1
TF336163	HAVCR2
TF300901	RPS3
TF336515	SRPX2
TF336515	SRPX
TF106187	SIN3A
TF106187	SIN3B
TF101234	ERCC4
TF300586	UBE1L2
TF300586	UBE1L
TF300586	UBE1
TF106160	COL4A3BP
TF314388	MED14
TF105456	BUB1B
TF351261	ANKRD27
TF323812	MKS1
TF336928	SCGB3A2
TF336928	SCGB3A1
TF323706	IPO9
TF314537	Cytochrome_b5%2C_type_A
TF337718	Macrophage_colony-stimulating_factor
TF336266	PMFBP1
TF101121	UBE2H
TF332957	FANCF
TF331420	LZTS1
TF314907	RIC8A
TF319837	XBP1
TF313954	EXOC4
TF338577	MLANA
TF316174	MALL
TF316174	MAL_%28gene%29
TF324146	GCM1
TF324146	GCM2
TF314044	STARD13
TF314044	DLC1
TF314044	STARD8
TF327387	MTPN
TF328876	SYCP3
TF328464	ASXL1
TF326403	TOPBP1
TF319145	CST2
TF319145	CST4
TF319145	Cystatin_C
TF319145	CST11
TF319145	CST9L
TF319145	CST5
TF319145	CST8_%28gene%29
TF319145	CST6_%28gene%29
TF319145	CST7_%28gene%29
TF319145	CSTL1
TF319145	CST1
TF336994	Gastrin
TF315397	PAX8
TF315397	PAX5
TF315397	PAX9
TF315397	PAX2
TF315397	PAX1
TF337038	TAC3
TF105619	NDUFS4
TF103046	POLR2L
TF101159	DNA_replication_factor_CDT1
TF332832	NUFIP2
TF105838	NOB1
TF106495	ARHGEF12
TF106495	ARHGEF11
TF106495	ARHGEF1
TF330287	USH2A
TF315294	RRP1B
TF315294	RRP1
TF332263	ZBTB11
TF332652	Nuclear_receptor_coactivator_2
TF332652	Nuclear_receptor_coactivator_3
TF332652	Nuclear_receptor_coactivator_1
TF314121	ALG1
TF300099	RAB25
TF300099	RAB11B
TF300099	RAB11A
TF337213	OR11H1
TF337213	OR11H6
TF337213	OR11G2
TF319820	MLL4
TF319820	MLL_%28gene%29
TF319820	MLL2
TF325188	PLDN
TF316311	TAF8
TF314604	STAG1
TF314604	STAG2
TF316736	WASL_%28gene%29
TF316736	Wiskott%E2%80%93Aldrich_syndrome_protein
TF333272	NEIL1
TF105666	AP3D1
TF323262	STX8
TF338200	Interleukin_2
TF313971	TBCA
TF300018	Galactose%E2%80%941-phosphate_uridylyltransferase
TF314161	SF3B14
TF332774	BASP1
TF318743	TFG_%28gene%29
TF300736	Argininosuccinate_synthetase_1
TF317494	RAB23
TF333530	Nicotinamide_phosphoribosyltransferase
TF300149	IMP3
TF105194	ABCB6
TF300791	RPL10A
TF333069	Calcitonin
TF101217	Rad50
TF315044	PEX5
TF105862	C16orf42
TF300279	MRPL33
TF325070	SPRY1
TF325070	SPRY4
TF325070	SPRY2
TF325070	SPRY3
TF312933	RPL24
TF315191	PRIC285
TF315191	DIS3L
TF315191	DIS3
TF332733	Chorionic_gonadotropin_alpha
TF351936	MYLIP
TF314193	FDXR
TF332357	DISC1
TF351956	RGS7
TF351956	RGS6
TF351956	RGS9
TF351956	RGS11
TF317467	GLTP
TF351833	Thyroglobulin
TF338197	OBP2A
TF338197	LCN1
TF351610	PAX7
TF351610	PAX3
TF314871	CPSF4
TF313367	Hypoxanthine-guanine_phosphoribosyltransferase
TF314497	ECHS1
TF105811	C9orf64
TF343687	KLKB1
TF343687	Factor_XI
TF105399	PCAF
TF105399	GCN5L2
TF312907	LSM3
TF105185	HCCS_%28gene%29
TF329914	Collagen%2C_type_XII%2C_alpha_1
TF329914	Collagen%2C_type_XIV%2C_alpha_1
TF350812	Tricho-rhino-phalangeal_syndrome_Type_1
TF337092	AMELY
TF337092	AMELX
TF338633	GPR45
TF106137	ATP6AP2
TF105643	CPSF3
TF350578	PHF3
TF350578	DIDO1
TF313683	NCKAP1
TF314463	RPL36
TF300881	SBDS
TF105693	COPA_%28gene%29
TF313242	STXBP1
TF313242	Syntaxin_binding_protein_2
TF313242	Syntaxin_binding_protein_3
TF300765	UBA2
TF324966	BBS4
TF321360	RTF1
TF323203	USP10
TF329535	CEP192
TF329383	EIF2AK1
TF313753	AASDHPPT
TF330877	LSR_%28gene%29
TF105203	ABCC10
TF300066	BRP44
TF329745	AP4M1
TF336434	Promyelocytic_leukemia_protein
TF300095	PHB2
TF300095	Prohibitin
TF333329	GGTL3
TF315216	TRIM9
TF335356	ART4
TF335356	ART3
TF344269	MT-CO2
TF105403	AKAP4
TF105403	AKAP3
TF337155	RAGE_%28receptor%29
TF106175	HDAC8
TF339598	ASCC3L1
TF106002	HER2/neu
TF106002	ERBB3
TF106002	ERBB4
TF106002	Epidermal_growth_factor_receptor
TF350757	Short_stature_homeobox_gene
TF350757	SHOX2
TF350757	SHOX2
TF105323	GSTK1
TF335054	FLJ10781
TF335054	MOAP1
TF335054	PNMA2
TF335054	CCDC8
TF313426	UTP18
TF317221	ZMYND8
TF105451	RDH8
TF105451	HSD17B1
TF331105	FBXL5
TF331105	FBXO4
TF333178	C1orf21_%28gene%29
TF300252	RPL30
TF314735	SARDH
TF332967	Myoglobin
TF332967	Cytoglobin
TF316034	UPF3B
TF316034	UPF3A
TF332555	GTSE1
TF313314	Monoamine_oxidase_A
TF313314	Monoamine_oxidase_B
TF319434	IFT20
TF105569	ZFP106
TF331127	GOLM1
TF325466	TSC1
TF324409	SMPD4
TF338514	FATE1
TF314272	PNPLA2
TF314272	PNPLA3
TF313225	Cathepsin_Z
TF313225	Cathepsin_C
TF328619	HAX1
TF300593	Ribosomal_protein_L4
TF338233	Kisspeptin
TF336003	Interleukin_28_receptor%2C_alpha_subunit
TF337624	OR10J5
TF337624	OR10J3
TF337624	OR10J1
TF300756	Aspartylglucosaminidase
TF324491	RAB38
TF325689	NRL_%28gene%29
TF325689	MAFK
TF325689	MAFB_%28gene%29
TF325689	MAFA_%28gene%29
TF325689	MAF_%28gene%29
TF325689	MAFG
TF325689	MAFF_%28gene%29
TF300042	RPL17
TF331340	IMPG1
TF324889	MAP2K1IP1
TF336947	CCHCR1
TF314078	MOBKL3
TF335538	PYCR1
TF314387	POLK
TF333279	ALS2CR8
TF105117	MAP3K8
TF313513	ILKAP
TF328589	KCNMB2
TF328589	KCNMB1
TF328589	KCNMB4
TF328589	KCNMB3
TF332824	PAWR
TF343361	TRIOBP
TF351844	DOC2B
TF351844	RPH3A
TF351844	DOC2A
TF105328	Leukotriene_C4_synthase
TF105328	5-lipoxygenase-activating_protein
TF105328	MGST3
TF105328	MGST2
TF329438	TOR1AIP1
TF101092	ORC2L
TF321717	PIKFYVE
TF105818	BCAS2
TF300082	RPL10L
TF105802	PDCD10
TF323428	RAB26
TF323428	RAB37
TF338205	SPRR3
TF338205	SPRR1B
TF338205	SPRR1A
TF329370	VASH1
TF314525	SPATA5
TF317515	TTC1
TF314176	ANKRD13C
TF335157	MS4A3
TF335157	CD20
TF335157	MS4A7
TF335157	MS4A2
TF338536	ACD_%28gene%29
